label,alternative_experiment_id,seed,paired_annualized_ce_difference,inference_scope
TD3 versus PPO,ppo_lstm_full,20261010,-0.1459097885366345,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261001,-0.019981078339455616,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261002,-0.10381513614975502,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261003,-0.13164049813501832,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261004,0.1488868378789685,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261005,0.006626163516215922,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261006,-0.054118563894033356,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261007,-0.03391185274223418,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261008,0.09902584055534835,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261009,0.10562934549551417,training_randomness_only
TD3 versus A2C,a2c_lstm_full,20261010,-0.10751819380817373,training_randomness_only
